category,exam1_score,exam2_score,student_name
Category1,7,105,Aaron Little
Category2,12,103,Gene Lubowitz
Category1,38,164,Jose Ernser
Category2,79,105,Mary Brekke
Category1,71,129,Dr. Maryann Ernser
Category2,59,141,Bob Dare
Category1,50,154,Freda Jacobs
Category2,89,104,Alyssa Krajcik
Category1,50,128,Stella Okuneva-Marvin
Category2,34,119,Billy Hermiston
Category1,33,194,Sharon Jerde
Category2,63,106,Drew Stokes
Category1,25,124,Earl Koepp
Category2,84,150,Gordon McCullough
Category1,48,186,Eric Stehr
Category2,56,116,Billie Lowe DDS
Category1,95,194,Doug Beahan
Category2,19,113,Priscilla Pouros
Category1,14,127,Jeannie Hayes
Category2,44,114,Dr. Noel Krajcik
Category1,24,196,Traci Vandervort
Category2,86,123,Pete Smitham
Category1,61,159,Cameron Schimmel
Category2,100,135,Larry Torphy
Category1,9,198,Tina Kessler
Category2,70,154,Morris Batz
Category1,25,200,Marlon Bernhard
Category2,50,134,Dr. Arlene Dickinson-Kub
Category1,22,133,Betty Rutherford
Category2,15,181,Barry Gulgowski PhD
Category1,53,161,Sherry Christiansen
Category2,58,189,Benjamin Considine
Category1,17,148,Loretta Abshire
Category2,88,152,Delia Jones-Kulas
Category1,22,173,Mr. George Hickle
Category2,39,169,Hope Walker
Category1,92,153,Eileen Beier I
Category2,85,170,Adam Schuster
Category1,92,196,Kristy Sauer I
Category2,96,173,Harold Ruecker
Category1,11,161,Jan Gutmann
Category2,55,167,Jaime Haag
Category1,25,130,Deborah Cole
Category2,69,102,Andrea Witting
Category1,68,111,Devin Wisozk
Category2,89,162,Celia Wolff-Ernser
Category1,30,104,Claude Torp
Category2,51,162,Horace Sanford
Category1,42,138,Erika McLaughlin
Category2,64,110,Mrs. Helen Wuckert
Category1,20,106,Dr. Lionel Hagenes
Category2,47,105,Dean Marquardt
Category1,26,177,Claire Powlowski
Category2,36,173,Dr. Cheryl White
Category1,92,156,Eugene Feeney
Category2,43,149,Kim Maggio
Category1,16,157,Jon Witting
Category2,48,146,Lorenzo Pagac
Category1,15,146,Darrin Kreiger IV
Category2,17,178,Roland Rowe
Category1,42,153,Dwight Robel
Category2,57,182,Eunice Mayert
Category1,14,161,Jackie Crooks
Category2,75,161,Kristie Sipes
Category1,13,135,Clara White
Category2,76,180,Ashley Keeling
Category1,44,126,Melody Schmitt
Category2,4,197,Jeff Medhurst
Category1,2,116,Dr. Johnnie Koch
Category2,18,119,Bernice Labadie
Category1,69,148,Gerald Dach-Conn
Category2,58,182,Alicia Weber
Category1,84,107,Jorge Zieme
Category2,7,114,Myra Hickle
Category1,62,161,Ms. Veronica Maggio
Category2,13,142,Catherine Haag
Category1,24,122,Lorena Kohler
Category2,50,113,Leigh West
Category1,41,199,Ora Will PhD
Category2,15,108,Lucas Gleason
Category1,73,120,Josefina Franecki
Category2,66,184,Dr. Leonard Ferry
Category1,7,130,Darrell Klein V
Category2,24,161,Sidney Abbott
Category1,17,134,Woodrow Rice Sr.
Category2,5,157,Darla Bailey
Category1,91,117,Kristen Kunde
Category2,62,177,Tammy Schiller
Category1,89,147,Kelli Baumbach
Category2,11,186,Arlene Strosin
Category1,33,109,Dr. Carole Connelly
Category2,33,180,Ruben Gutmann
Category1,97,113,Keith Smith
Category2,1,106,Jimmie O'Reilly
Category1,53,145,Sean Goldner
Category2,8,174,Jean Ledner
Category1,65,132,Brooke Kuhn
Category2,41,106,Ollie Hills
Category1,1,168,Kristie Osinski
Category2,73,109,Andy Gleichner
Category1,69,198,Elaine Wilkinson Sr.
Category2,67,137,Miss Mary Mertz-Kautzer
Category1,28,186,Jaime Adams
Category2,57,140,Shawna Kautzer
Category1,83,103,Maurice Haag
Category2,40,191,Dr. Noel DuBuque
Category1,92,185,Ricardo Jast
Category2,8,183,Lee Gusikowski
Category1,85,108,Stephanie Lehner
Category2,47,164,Grady Ullrich
Category1,13,199,Aubrey Hackett
Category2,98,155,Shannon Sporer Sr.
Category1,75,141,Angela Bernier
Category2,78,130,Bobby Howell
Category1,15,156,Randal Reilly
Category2,97,139,Mr. Joseph Roberts-Ankunding
Category1,42,111,Leland Kassulke
Category2,12,184,Sherman Beer
Category1,40,123,Darla Ullrich
Category2,100,180,Norman Effertz
Category1,23,101,Traci Rosenbaum
Category2,7,172,Ms. Ella Kilback
Category1,68,178,Tamara Padberg
Category2,37,146,Wesley Mosciski MD
Category1,21,143,Ronald Schmitt
Category2,97,119,Garry Kuphal
Category1,36,103,Karl Beahan
Category2,39,140,Don Hermann
Category1,92,141,Dr. Gabriel Rolfson
Category2,84,191,Rose Reichert
Category1,58,185,Nettie Heller DVM
Category2,86,130,Angel Orn
Category1,42,109,Stacy Schumm
Category2,92,106,Laura Cremin
Category1,76,168,Heidi Rowe
Category2,82,143,Holly Kuphal
Category1,39,102,Zachary Fahey
Category2,54,123,Brandi Howell
Category1,83,166,Israel Hagenes DDS
Category2,21,105,Francis Kirlin
Category1,26,186,James Herman
Category2,85,144,Grady Roob
Category1,93,185,Gregory Boyer
Category2,90,183,Dr. Dana Blanda
Category1,15,188,Rafael Ritchie
Category2,89,153,Pat Reichel
Category1,58,160,Tina Sipes
Category2,81,186,Isaac Hamill
Category1,19,146,Stephen Kerluke
Category2,78,181,Emily Pacocha
Category1,36,108,Tanya Turcotte-Sipes
Category2,59,115,Scott Schneider
Category1,14,103,Alicia Stark
Category2,51,158,Pearl Murray DDS
Category1,25,186,Meghan Schroeder
Category2,15,156,Donnie Stroman
Category1,77,176,Kristina Effertz
Category2,87,111,Henrietta Ankunding MD
Category1,60,196,Winifred Wiza
Category2,27,135,Joe Schmitt
Category1,83,188,Eunice Cremin
Category2,20,114,Mr. Kevin Cummings
Category1,74,170,Patty Brakus
Category2,64,109,Hazel Kemmer
Category1,45,109,Sylvester Murphy
Category2,36,172,Mrs. Tanya Deckow
Category1,46,129,Dr. Stewart McCullough
Category2,98,159,Gordon Gorczany
Category1,78,193,Cory Wiza
Category2,70,197,Mr. Anthony Kuhlman
Category1,89,103,Johnny Bauch-Gutkowski
Category2,94,123,Miguel Corkery
Category1,86,127,Grace Emard
Category2,50,130,Marlene Gusikowski
Category1,97,167,Dr. Kent Halvorson
Category2,22,111,Barry Adams
Category1,61,145,Jean Fritsch
Category2,68,107,Candace Feeney
Category1,13,199,Roy Littel
Category2,18,172,Mattie Kutch
Category1,38,169,Erica Rodriguez I
